sex,age,height,index,amount
0,17,220,609484,514037
0,22,69,252657,208839
0,34,51,893471,19863
0,84,280,629838,567772
1,99,246,86003,179611
1,71,203,862111,796478
0,44,226,73046,689870
1,84,271,659805,608108
0,56,142,485864,451919
0,20,125,508845,797569
0,82,158,274617,624980
1,86,3,386503,126139
1,51,52,617459,658713
0,17,178,746029,93858
1,57,230,949033,148054
1,40,154,629878,443872
0,30,275,89064,70761
1,29,208,262583,374931
1,52,173,656848,876999
0,57,205,535833,670644
1,63,271,947611,872621
0,29,215,204053,437368
1,66,115,6322,586151
0,1,25,178349,277794
0,49,240,231221,773159
1,55,171,696974,634166
1,53,147,489100,202982
1,82,198,719883,231055
1,28,144,293856,179474
1,50,87,856029,178511
1,64,123,91345,680113
1,5,223,955078,379769
0,40,273,931976,930930
0,13,109,727966,846823
0,61,162,847927,313779
0,43,291,652892,266905
1,58,215,91254,971644
0,23,232,828899,538099
0,64,265,562044,532762
0,78,225,731793,319775
0,73,213,819403,844044
1,66,69,883861,674765
0,61,79,422216,13718
0,81,210,407644,139534
1,0,238,167710,149120
1,57,130,779787,471521
1,100,201,793382,220930
1,87,29,405246,562153
1,21,209,750672,194278
0,62,102,20473,309278
0,40,181,260608,398701
1,51,232,759855,984860
1,43,145,686684,230574
0,46,104,501592,415592
1,9,293,33682,876643
0,30,107,860886,356570
1,29,89,62191,650649
0,62,298,175635,136990
1,14,272,444456,772663
0,18,33,169618,396843
0,67,260,798271,576857
0,40,204,206056,574207
0,83,278,479914,823259
1,97,207,14116,686040
1,54,147,24048,325289
1,68,279,131632,618633
1,39,205,220772,738558
1,95,150,491258,287309
1,13,132,560374,405085
1,60,119,69219,200244
1,68,165,903246,133953
1,95,93,100821,458187
0,24,45,116161,644948
0,50,207,241333,594585
0,53,179,476749,498628
1,60,204,80760,68001
0,76,241,818579,93203
0,20,205,450070,869452
1,24,98,697343,399156
0,30,298,726970,919132
1,8,155,330342,174303
1,98,166,13052,705761
1,71,239,641189,516417
1,100,122,192091,960568
1,33,34,143492,718481
1,17,278,721747,43428
1,72,20,482211,695294
1,92,53,258881,358098
1,46,233,573642,351570
1,50,60,465942,519163
1,91,81,662812,172339
1,79,224,792920,934415
1,87,122,710041,692534
0,55,111,318539,901094
1,38,244,343637,499055
0,53,143,718743,287907
1,45,246,955353,383724
0,66,123,353837,493240
0,91,91,131897,706443
0,51,274,419416,48065
0,97,198,175336,668947
0,97,219,70278,588974
1,2,87,519183,999999
0,1,157,949962,977351
0,83,31,420304,570248
1,14,2,370405,5401
0,65,208,361535,182096
0,60,244,685096,859851
1,47,41,847557,584279
0,34,78,799148,468766
1,11,120,100889,593941
0,52,151,902593,630068
1,90,45,703603,48897
1,28,50,568172,501756
1,14,219,278160,56282
0,77,26,137025,671583
0,100,64,511670,423390
0,79,256,82133,215241
0,50,238,662929,854731
0,41,293,801346,466072
0,25,275,508203,581330
1,91,128,498914,832793
1,14,217,53223,167159
0,76,111,350278,614084
1,61,75,72525,888330
1,60,79,73236,908567
1,65,147,189089,570932
1,44,10,939447,94627
0,31,113,181181,567866
1,59,49,579277,70393
0,19,78,402197,373667
0,23,259,839437,825736
0,53,160,452294,454585
0,50,28,917370,878288
1,77,16,786667,326199
0,9,257,878635,507108
1,86,276,338513,904495
0,57,205,956453,649937
1,56,40,703995,912493
1,69,185,180010,653820
0,79,82,54260,236045
0,66,141,368160,400962
0,43,290,218914,950514
1,60,200,492172,905968
0,43,20,678914,36752
0,39,23,420657,958884
0,37,197,459633,181570
0,76,146,343370,702327
1,13,284,298344,862969
0,72,183,806942,71130
1,29,36,276723,377745
1,24,44,436868,406220
1,12,234,99017,897918
0,71,193,504486,958545
0,44,34,713692,651022
0,10,49,678911,40292
1,18,146,132958,650428
1,67,152,195138,840991
1,47,47,500802,904697
0,43,30,82577,106477
1,1,29,711657,891723
1,84,240,635820,967942
1,17,263,625571,918972
0,6,289,855491,454538
0,57,168,140360,307214
1,25,140,841838,668238
0,43,94,848961,477006
1,70,245,854568,362560
0,0,126,341398,613027
0,93,225,198798,575525
0,52,129,548134,48304
0,54,79,439290,594926
1,61,12,63823,197377
1,40,40,326060,118405
0,90,220,757290,318200
0,75,118,763841,81593
1,31,294,687572,754015
0,29,290,200053,123380
1,69,210,943072,927669
1,66,127,646251,492568
1,57,89,536761,9816
0,3,175,996090,838798
0,44,194,82531,5642
1,11,136,505217,214463
0,30,137,902298,802370
1,33,250,172359,82074
0,22,103,306753,830332
1,16,58,254070,670114
1,85,250,740615,933515
1,50,234,707508,734453
0,49,54,872598,595278
0,98,30,791862,137840
0,91,92,701948,88016
1,89,199,640966,243153
1,56,190,592154,94973
0,54,148,987143,850426
0,77,185,773469,547039
0,87,148,279433,475164
0,91,24,723626,915127
1,12,119,249825,53367
0,89,76,530906,207399
1,52,200,136269,848284
1,8,266,384843,864176
1,77,232,845180,505729
0,49,18,673684,184164
1,30,60,159649,895305
1,13,19,295739,599576
0,11,46,417382,346730
0,47,228,761940,590051
1,50,156,972700,4452
0,0,52,901238,602366
0,57,194,429635,750785
0,36,54,182216,463200
0,25,123,811160,982119
1,56,112,143455,495573
